codi_indicador,any,codi_municipi,valor_final
15.1.1,2020,08001,"28,93"
15.1.1,2020,08002,"39,00"
15.1.1,2020,08003,"29,24"
15.1.1,2020,08004,"67,85"
15.1.1,2020,08005,"29,68"
15.1.1,2020,08006,"18,12"
15.1.1,2020,08007,"59,89"
15.1.1,2020,08008,"38,36"
15.1.1,2020,08009,"56,23"
15.1.1,2020,08010,"26,26"
15.1.1,2020,08011,"22,14"
15.1.1,2020,08012,"65,89"
15.1.1,2020,08013,"26,80"
15.1.1,2020,08014,"81,25"
15.1.1,2020,08015,"9,30"
15.1.1,2020,08016,"45,24"
15.1.1,2020,08017,"24,35"
15.1.1,2020,08018,"39,82"
15.1.1,2020,08019,"12,95"
15.1.1,2020,08020,"30,44"
15.1.1,2020,08021,"49,93"
15.1.1,2020,08022,"38,73"
15.1.1,2020,08023,"48,81"
15.1.1,2020,08024,"76,98"
15.1.1,2020,08025,"52,91"
15.1.1,2020,08026,"66,66"
15.1.1,2020,08027,"1,10"
15.1.1,2020,08028,"61,01"
15.1.1,2020,08029,"26,35"
15.1.1,2020,08030,"43,21"
15.1.1,2020,08031,"0,64"
15.1.1,2020,08032,"16,09"
15.1.1,2020,08033,"53,52"
15.1.1,2020,08034,"57,97"
15.1.1,2020,08035,"32,85"
15.1.1,2020,08036,"11,83"
15.1.1,2020,08037,"1,97"
15.1.1,2020,08038,"40,68"
15.1.1,2020,08039,"76,00"
15.1.1,2020,08040,"34,42"
15.1.1,2020,08041,"19,22"
15.1.1,2020,08042,"71,72"
15.1.1,2020,08043,"41,25"
15.1.1,2020,08044,"45,94"
15.1.1,2020,08045,"68,78"
15.1.1,2020,08046,"17,53"
15.1.1,2020,08047,"42,26"
15.1.1,2020,08048,"53,45"
15.1.1,2020,08049,"15,01"
15.1.1,2020,08050,"79,13"
15.1.1,2020,08051,"64,78"
15.1.1,2020,08052,"39,09"
15.1.1,2020,08053,"42,04"
15.1.1,2020,08054,"25,87"
15.1.1,2020,08055,"58,73"
15.1.1,2020,08056,"13,24"
15.1.1,2020,08057,"70,12"
15.1.1,2020,08058,"29,98"
15.1.1,2020,08059,"52,72"
15.1.1,2020,08060,"3,77"
15.1.1,2020,08061,"56,21"
15.1.1,2020,08062,"61,39"
15.1.1,2020,08063,"62,56"
15.1.1,2020,08064,"65,94"
15.1.1,2020,08065,"22,90"
15.1.1,2020,08066,"67,83"
15.1.1,2020,08067,"34,51"
15.1.1,2020,08068,"65,32"
15.1.1,2020,08069,"38,23"
15.1.1,2020,08070,"12,73"
15.1.1,2020,08071,"27,04"
15.1.1,2020,08072,"50,94"
15.1.1,2020,08073,"0,01"
15.1.1,2020,08074,"28,11"
15.1.1,2020,08075,"76,77"
15.1.1,2020,08076,"28,29"
15.1.1,2020,08077,"1,41"
15.1.1,2020,08078,"55,51"
15.1.1,2020,08079,"41,62"
15.1.1,2020,08080,"65,88"
15.1.1,2020,08081,"52,50"
15.1.1,2020,08082,"67,07"
15.1.1,2020,08083,"10,92"
15.1.1,2020,08084,"43,84"
15.1.1,2020,08085,"26,32"
15.1.1,2020,08086,"24,09"
15.1.1,2020,08087,"73,80"
15.1.1,2020,08088,"55,34"
15.1.1,2020,08089,"23,84"
15.1.1,2020,08090,"68,81"
15.1.1,2020,08091,"42,95"
15.1.1,2020,08092,"15,60"
15.1.1,2020,08093,"54,11"
15.1.1,2020,08094,"1,32"
15.1.1,2020,08095,"57,73"
15.1.1,2020,08096,"3,49"
15.1.1,2020,08097,"66,25"
15.1.1,2020,08098,"59,65"
15.1.1,2020,08099,"45,60"
15.1.1,2020,08100,"18,45"
15.1.1,2020,08101,"0,04"
15.1.1,2020,08102,"2,87"
15.1.1,2020,08103,"47,13"
15.1.1,2020,08104,"53,99"
