firstname,token,informacio_general_act,organs_de_govern_act,organismes_depenents_act,organismes_amb_representacio_act,canals_participacio_act,estructura_administrativa_act,serveis_publics_act,informacio_economica_act,contractacio_act,planificacio_act,grups_interes_act
Abrera,08001AA000,2 Nivell alt,3 Nivell alt,,1 Actualitzat,1 Actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Alella,08003AA000,2 Nivell alt,3 Nivell alt,,1 Actualitzat,1 Actualitzat,3 Nivell alt,1 Nivell baix,1 Nivell baix,1 Actualitzat,2 Nivell mig,0 No actualitzat
Ametlla del Vallès (L'),08005AA000,2 Nivell alt,1 Nivell baix,,1 Actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Arenys de Mar,08006AA000,2 Nivell alt,1 Nivell baix,1 Nivell mig,1 Actualitzat,0 No actualitzat,3 Nivell alt,1 Nivell baix,0 No actualitzat,1 Actualitzat,3 Nivell alt,0 No actualitzat
Arenys de Munt,08007AA000,2 Nivell alt,2 Nivell mig,1 Nivell mig,0 No actualitzat,1 Actualitzat,3 Nivell alt,1 Nivell baix,0 No actualitzat,1 Actualitzat,1 Nivell baix,0 No actualitzat
Argentona,08009AA000,2 Nivell alt,2 Nivell mig,1 Nivell mig,1 Actualitzat,1 Actualitzat,3 Nivell alt,1 Nivell baix,1 Nivell baix,1 Actualitzat,2 Nivell mig,0 No actualitzat
Artés,08010AA000,1 Nivell mig,0 No actualitzat,,1 Actualitzat,0 No actualitzat,3 Nivell alt,0 No actualitzat,3 Nivell alt,1 Actualitzat,0 No actualitzat,0 No actualitzat
Begues,08020AA000,1 Nivell mig,3 Nivell alt,,1 Actualitzat,1 Actualitzat,3 Nivell alt,0 No actualitzat,3 Nivell alt,1 Actualitzat,2 Nivell mig,0 No actualitzat
Berga,08022AA000,2 Nivell alt,2 Nivell mig,1 Nivell mig,0 No actualitzat,1 Actualitzat,3 Nivell alt,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Bigues i Riells del Fai,08023AA000,2 Nivell alt,2 Nivell mig,,0 No actualitzat,1 Actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Cabrils,08030AA000,2 Nivell alt,2 Nivell mig,1 Nivell mig,1 Actualitzat,1 Actualitzat,2 Nivell mig,1 Nivell baix,2 Nivell mig,1 Actualitzat,2 Nivell mig,0 No actualitzat
Caldes de Montbui,08033AA000,2 Nivell alt,1 Nivell baix,2 Nivell alt,1 Actualitzat,1 Actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,0 No actualitzat,0 No actualitzat
Calella,08035AA000,2 Nivell alt,3 Nivell alt,2 Nivell alt,1 Actualitzat,1 Actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,2 Nivell mig,0 No actualitzat
Canet de Mar,08040AA000,1 Nivell mig,2 Nivell mig,,0 No actualitzat,1 Actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,2 Nivell mig,0 No actualitzat
Canovelles,08041AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,1 Actualitzat,3 Nivell alt,1 Nivell baix,2 Nivell mig,1 Actualitzat,2 Nivell mig,0 No actualitzat
Canyelles,08043AA000,2 Nivell alt,3 Nivell alt,,0 No actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,0 No actualitzat,1 Actualitzat,2 Nivell mig,0 No actualitzat
Capellades,08044AA000,1 Nivell mig,1 Nivell baix,2 Nivell alt,1 Actualitzat,1 Actualitzat,2 Nivell mig,0 No actualitzat,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Cardedeu,08046AA000,2 Nivell alt,3 Nivell alt,2 Nivell alt,1 Actualitzat,1 Actualitzat,3 Nivell alt,3 Nivell alt,2 Nivell mig,1 Actualitzat,2 Nivell mig,0 No actualitzat
Castellbisbal,08054AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,1 Actualitzat,3 Nivell alt,2 Nivell mig,1 Nivell baix,1 Actualitzat,1 Nivell baix,1 Actualitzat
Centelles,08067AA000,2 Nivell alt,2 Nivell mig,2 Nivell alt,1 Actualitzat,1 Actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Cervelló,08068AA000,2 Nivell alt,3 Nivell alt,,1 Actualitzat,1 Actualitzat,3 Nivell alt,1 Nivell baix,2 Nivell mig,1 Actualitzat,1 Nivell baix,0 No actualitzat
Corbera de Llobregat,08072AA000,2 Nivell alt,2 Nivell mig,,0 No actualitzat,1 Actualitzat,2 Nivell mig,1 Nivell baix,0 No actualitzat,1 Actualitzat,1 Nivell baix,0 No actualitzat
Cubelles,08074AA000,2 Nivell alt,3 Nivell alt,,1 Actualitzat,1 Actualitzat,3 Nivell alt,1 Nivell baix,2 Nivell mig,1 Actualitzat,3 Nivell alt,0 No actualitzat
Dosrius,08075AA000,2 Nivell alt,2 Nivell mig,,0 No actualitzat,1 Actualitzat,2 Nivell mig,0 No actualitzat,3 Nivell alt,1 Actualitzat,0 No actualitzat,0 No actualitzat
Garriga (La),08088AA000,2 Nivell alt,2 Nivell mig,2 Nivell alt,0 No actualitzat,1 Actualitzat,3 Nivell alt,1 Nivell baix,2 Nivell mig,1 Actualitzat,2 Nivell mig,0 No actualitzat
Gelida,08091AA000,0 No actualitzat,0 No actualitzat,1 Nivell mig,1 Actualitzat,0 No actualitzat,2 Nivell mig,0 No actualitzat,1 Nivell baix,1 Actualitzat,2 Nivell mig,0 No actualitzat
Llagosta (La),08105AA000,1 Nivell mig,0 No actualitzat,1 Nivell mig,1 Actualitzat,1 Actualitzat,2 Nivell mig,2 Nivell mig,0 No actualitzat,1 Actualitzat,1 Nivell baix,0 No actualitzat
Llinars del Vallès,08106AA000,1 Nivell mig,0 No actualitzat,0 No actualitzat,1 Actualitzat,1 Actualitzat,2 Nivell mig,1 Nivell baix,3 Nivell alt,1 Actualitzat,2 Nivell mig,0 No actualitzat
Lliçà d'Amunt,08107AA000,1 Nivell mig,0 No actualitzat,0 No actualitzat,0 No actualitzat,1 Actualitzat,1 Nivell baix,1 Nivell baix,3 Nivell alt,1 Actualitzat,2 Nivell mig,0 No actualitzat
Lliçà de Vall,08108AA000,1 Nivell mig,0 No actualitzat,,0 No actualitzat,0 No actualitzat,2 Nivell mig,0 No actualitzat,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Malgrat de Mar,08110AA000,2 Nivell alt,3 Nivell alt,,1 Actualitzat,1 Actualitzat,3 Nivell alt,1 Nivell baix,2 Nivell mig,1 Actualitzat,2 Nivell mig,1 Actualitzat
Masquefa,08119AA000,2 Nivell alt,2 Nivell mig,1 Nivell mig,1 Actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,2 Nivell mig,0 No actualitzat
Matadepera,08120AA000,2 Nivell alt,3 Nivell alt,,1 Actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Montgat,08126AA000,2 Nivell alt,2 Nivell mig,,0 No actualitzat,1 Actualitzat,3 Nivell alt,1 Nivell baix,2 Nivell mig,1 Actualitzat,1 Nivell baix,0 No actualitzat
