any,codi_municipi,valor_final
2019,08001,3.67
2019,08002,2.33
2019,08003,9.00
2019,08004,3.33
2019,08005,6.00
2019,08006,6.33
2019,08007,4.33
2019,08008,4.33
2019,08009,7.67
2019,08010,4.33
2019,08011,3.33
2019,08012,3.00
2019,08013,4.33
2019,08014,4.33
2019,08015,7.33
2019,08016,3.67
2019,08017,4.67
2019,08018,5.33
2019,08019,8.67
2019,08020,5.67
2019,08021,5.00
2019,08022,6.33
2019,08023,4.67
2019,08024,3.67
2019,08025,6.33
2019,08026,4.67
2019,08027,4.33
2019,08028,4.33
2019,08029,6.67
2019,08030,6.33
2019,08031,7.00
2019,08032,6.33
2019,08033,6.67
2019,08034,5.00
2019,08035,8.00
2019,08036,3.00
2019,08037,6.67
2019,08038,5.33
2019,08039,2.00
2019,08040,6.00
2019,08041,7.00
2019,08042,3.33
2019,08043,3.67
2019,08044,3.67
2019,08045,3.67
2019,08046,8.00
2019,08047,4.00
2019,08048,5.67
2019,08049,4.00
2019,08050,3.33
2019,08051,5.67
2019,08052,3.00
2019,08053,4.33
2019,08054,6.00
2019,08055,3.67
2019,08056,8.67
2019,08057,3.33
2019,08058,5.33
2019,08059,2.00
2019,08060,3.00
2019,08061,4.00
2019,08062,5.00
2019,08063,4.00
2019,08064,4.00
2019,08065,5.33
2019,08066,6.67
2019,08067,7.00
2019,08068,6.33
2019,08069,2.67
2019,08070,4.67
2019,08071,5.00
2019,08072,5.33
2019,08073,8.00
2019,08074,6.00
2019,08075,5.00
2019,08076,7.33
2019,08077,8.00
2019,08078,3.00
2019,08079,5.00
2019,08080,4.00
2019,08081,3.33
2019,08082,3.67
2019,08083,5.67
2019,08084,4.33
2019,08085,4.67
2019,08086,4.33
2019,08087,3.67
2019,08088,6.00
2019,08089,7.00
2019,08090,4.00
2019,08091,3.33
2019,08092,6.33
2019,08093,3.67
2019,08094,4.00
2019,08095,4.00
2019,08096,7.00
2019,08097,3.67
2019,08098,4.00
2019,08099,4.67
2019,08100,4.00
2019,08101,8.00
2019,08102,6.67
2019,08103,4.00
2019,08104,3.67
2019,08105,5.00
2019,08106,6.33
2019,08107,7.00
2019,08108,4.33
2019,08109,3.67
2019,08110,7.67
2019,08111,3.33
2019,08112,9.33
2019,08113,8.33
2019,08114,7.33
2019,08115,7.33
2019,08116,5.33
2019,08117,5.00
2019,08118,8.00
2019,08119,5.33
2019,08120,6.67
2019,08121,7.00
2019,08122,5.00
2019,08123,7.67
2019,08124,6.33
2019,08125,7.00
2019,08126,7.67
2019,08127,4.33
2019,08128,3.67
2019,08129,3.00
2019,08130,3.67
2019,08131,5.67
2019,08132,2.67
2019,08133,3.33
2019,08134,5.67
2019,08135,5.67
2019,08136,5.33
2019,08137,3.67
2019,08138,5.00
2019,08139,3.33
2019,08140,5.00
2019,08141,4.00
2019,08142,3.67
2019,08143,5.67
2019,08144,2.00
2019,08145,6.33
2019,08146,4.67
2019,08147,6.67
2019,08148,6.00
2019,08149,6.00
2019,08150,5.67
2019,08151,2.33
2019,08152,3.33
2019,08153,4.00
2019,08154,4.67
2019,08155,5.00
2019,08156,8.33
2019,08157,5.67
2019,08158,3.33
2019,08159,7.33
2019,08160,5.67
2019,08161,3.33
2019,08162,6.00
2019,08163,4.33
2019,08164,4.67
2019,08165,2.67
2019,08166,1.33
2019,08167,5.00
2019,08168,2.67
2019,08169,8.67
2019,08170,5.67
2019,08171,5.67
2019,08172,5.67
2019,08174,1.67
2019,08175,4.00
2019,08176,2.00
2019,08177,2.67
2019,08178,5.33
2019,08179,5.33
2019,08180,6.67
2019,08181,6.33
2019,08182,5.67
2019,08183,5.33
2019,08184,5.67
2019,08185,4.00
2019,08187,8.00
2019,08188,1.33
2019,08189,3.00
2019,08190,4.00
2019,08191,6.33
2019,08192,3.33
2019,08193,3.67
2019,08194,5.00
2019,08195,4.67
2019,08196,7.67
2019,08197,5.00
2019,08198,3.33
2019,08199,3.67
2019,08200,8.33
2019,08201,5.67
2019,08202,5.33
2019,08203,3.67
2019,08204,6.33
2019,08205,8.67
2019,08206,4.00
2019,08207,4.67
2019,08208,5.67
2019,08209,6.33
2019,08210,4.33
2019,08211,7.00
2019,08212,3.67
2019,08213,5.00
2019,08214,4.00
2019,08215,6.33
2019,08216,2.67
2019,08217,7.00
2019,08218,5.33
2019,08219,5.67
2019,08220,5.67
2019,08221,7.33
2019,08222,3.67
2019,08223,5.33
2019,08224,3.33
2019,08225,5.33
2019,08226,4.00
2019,08227,4.33
2019,08228,2.00
2019,08229,5.00
2019,08230,7.00
2019,08231,5.67
2019,08232,4.33
2019,08233,5.67
2019,08234,5.67
2019,08235,6.33
2019,08236,5.67
2019,08237,5.00
2019,08238,8.33
2019,08239,6.00
2019,08240,3.67
2019,08241,5.00
2019,08242,3.33
2019,08243,3.67
2019,08244,7.00
2019,08245,7.00
2019,08246,4.67
2019,08247,3.67
2019,08248,5.00
2019,08249,1.67
2019,08250,5.00
2019,08251,6.00
2019,08252,7.67
2019,08253,2.67
2019,08254,3.00
2019,08255,2.67
2019,08256,3.33
2019,08257,5.67
2019,08258,2.00
2019,08259,7.33
2019,08260,6.67
2019,08261,4.67
2019,08262,6.67
2019,08263,5.00
2019,08264,4.67
2019,08265,5.00
2019,08266,7.00
2019,08267,5.33
2019,08268,4.67
2019,08269,4.00
2019,08270,5.67
2019,08271,3.33
2019,08272,5.00
2019,08273,5.33
2019,08274,4.33
2019,08275,6.67
2019,08276,2.33
2019,08277,4.00
2019,08278,6.67
2019,08279,8.67
2019,08280,4.33
2019,08281,6.67
2019,08282,5.00
2019,08283,4.33
2019,08284,5.67
2019,08285,7.00
2019,08286,6.67
2019,08287,4.67
2019,08288,4.00
2019,08289,5.33
2019,08290,5.67
2019,08291,6.33
2019,08292,5.00
2019,08293,3.33
2019,08294,3.33
2019,08295,7.67
2019,08296,5.33
2019,08297,4.33
2019,08298,6.67
2019,08299,3.33
2019,08300,6.33
2019,08301,8.33
2019,08302,6.33
2019,08303,4.00
2019,08304,4.67
2019,08305,7.00
2019,08306,6.33
2019,08307,7.33
2019,08308,2.33
2019,08901,5.00
2019,08902,5.00
2019,08903,3.33
2019,08904,4.33
2019,08905,3.67
2020,08001,3.33
2020,08002,3.67
2020,08003,7.00
2020,08004,3.33
2020,08005,3.67
2020,08006,5.33
2020,08007,5.67
2020,08008,3.33
2020,08009,5.67
2020,08010,5.33
2020,08011,3.67
2020,08012,5.67
2020,08013,3.67
2020,08014,3.00
2020,08015,8.33
2020,08016,3.50
2020,08017,5.67
2020,08018,3.00
2020,08019,8.67
2020,08020,5.00
2020,08021,2.67
2020,08022,7.67
2020,08023,4.67
2020,08024,4.00
2020,08025,5.00
2020,08026,4.33
2020,08027,4.33
2020,08028,5.00
2020,08029,3.67
2020,08030,8.00
2020,08031,7.33
2020,08032,3.67
2020,08033,5.67
2020,08034,5.67
2020,08035,6.00
2020,08036,4.33
2020,08037,6.00
2020,08038,5.67
2020,08039,3.67
2020,08040,4.00
2020,08041,7.67
2020,08042,5.00
2020,08043,4.67
2020,08044,3.67
2020,08045,4.17
2020,08046,4.33
2020,08047,5.33
2020,08048,4.67
2020,08049,6.00
2020,08050,3.33
2020,08051,9.00
2020,08052,4.00
2020,08053,3.00
2020,08054,8.00
2020,08055,4.33
2020,08056,10.00
2020,08057,4.67
2020,08058,4.33
2020,08059,3.33
2020,08060,3.67
2020,08061,5.33
2020,08062,4.33
2020,08063,5.67
2020,08064,6.67
2020,08065,7.33
2020,08066,8.00
2020,08067,6.67
2020,08068,7.67
2020,08069,5.67
2020,08070,5.67
2020,08071,4.33
2020,08072,3.67
2020,08073,
2020,08074,5.33
2020,08075,3.67
2020,08076,5.33
2020,08077,7.33
2020,08078,3.33
2020,08079,4.33
2020,08080,4.33
2020,08081,2.67
2020,08082,6.67
2020,08083,5.67
2020,08084,4.67
2020,08085,4.33
2020,08086,6.00
2020,08087,3.33
2020,08088,5.67
2020,08089,5.00
2020,08090,3.83
2020,08091,4.67
2020,08092,7.33
2020,08093,3.67
2020,08094,5.67
2020,08095,4.00
2020,08096,8.00
2020,08097,3.00
2020,08098,3.67
2020,08099,4.00
2020,08100,5.00
2020,08101,7.67
2020,08102,7.33
2020,08103,3.67
2020,08104,3.67
2020,08105,6.00
2020,08106,2.67
2020,08107,8.33
2020,08108,4.00
