codi_indicador,any,codi_municipi,valor_final,valor_numerador,valor_denominador
16.6.1,2019,08001,"67,00",,
16.6.1,2019,08002,"36,00",,
16.6.1,2019,08014,"27,00",,
16.6.1,2019,08003,"70,00",,
16.6.1,2019,08004,"48,00",,
16.6.1,2019,08005,"72,00",,
16.6.1,2019,08006,"55,00",,
16.6.1,2019,08007,"84,00",,
16.6.1,2019,08008,"47,00",,
16.6.1,2019,08009,"54,00",,
16.6.1,2019,08010,"75,00",,
16.6.1,2019,08011,"41,00",,
16.6.1,2019,08012,"78,00",,
16.6.1,2019,08013,"55,00",,
16.6.1,2019,08015,"59,00",,
16.6.1,2019,08904,"46,00",,
16.6.1,2019,08016,"49,00",,
16.6.1,2019,08017,"47,00",,
16.6.1,2019,08018,"68,00",,
16.6.1,2019,08252,"62,00",,
16.6.1,2019,08019,"74,00",,
16.6.1,2019,08020,"65,00",,
16.6.1,2019,08021,"50,00",,
16.6.1,2019,08022,"64,00",,
16.6.1,2019,08023,"56,00",,
16.6.1,2019,08024,"46,00",,
16.6.1,2019,08025,"55,00",,
16.6.1,2019,08026,"59,00",,
16.6.1,2019,08027,"55,00",,
16.6.1,2019,08028,"62,00",,
16.6.1,2019,08029,"33,00",,
16.6.1,2019,08030,"66,00",,
16.6.1,2019,08031,"54,00",,
16.6.1,2019,08034,"49,00",,
16.6.1,2019,08033,"72,00",,
16.6.1,2019,08032,"46,00",,
16.6.1,2019,08035,"57,00",,
16.6.1,2019,08037,"54,00",,
16.6.1,2019,08038,"69,00",,
16.6.1,2019,08036,"55,00",,
16.6.1,2019,08039,"57,00",,
16.6.1,2019,08040,"61,00",,
16.6.1,2019,08041,"56,00",,
16.6.1,2019,08042,"43,00",,
16.6.1,2019,08043,"51,00",,
16.6.1,2019,08044,"57,00",,
16.6.1,2019,08045,"46,00",,
16.6.1,2019,08046,"58,00",,
16.6.1,2019,08047,"42,00",,
16.6.1,2019,08048,"46,00",,
16.6.1,2019,08049,"39,00",,
16.6.1,2019,08057,"42,00",,
16.6.1,2019,08052,"38,00",,
16.6.1,2019,08050,"36,00",,
16.6.1,2019,08051,"78,00",,
16.6.1,2019,08053,"57,00",,
16.6.1,2019,08054,"74,00",,
16.6.1,2019,08055,"39,00",,
16.6.1,2019,08056,"51,00",,
16.6.1,2019,08058,"73,00",,
16.6.1,2019,08060,"46,00",,
16.6.1,2019,08059,"42,00",,
16.6.1,2019,08061,"73,00",,
16.6.1,2019,08062,"56,00",,
16.6.1,2019,08063,"61,00",,
16.6.1,2019,08064,"67,00",,
16.6.1,2019,08065,"59,00",,
16.6.1,2019,08066,"73,00",,
16.6.1,2019,08067,"53,00",,
16.6.1,2019,08268,"48,00",,
16.6.1,2019,08266,"61,00",,
16.6.1,2019,08068,"53,00",,
16.6.1,2019,08069,"49,00",,
16.6.1,2019,08070,"45,00",,
16.6.1,2019,08071,"57,00",,
16.6.1,2019,08072,"70,00",,
16.6.1,2019,08073,"43,00",,
16.6.1,2019,08074,"64,00",,
16.6.1,2019,08075,"74,00",,
16.6.1,2019,08076,"78,00",,
16.6.1,2019,08077,"68,00",,
16.6.1,2019,08078,"31,00",,
16.6.1,2019,08254,"52,00",,
16.6.1,2019,08079,"61,00",,
16.6.1,2019,08134,"37,00",,
16.6.1,2019,08080,"47,00",,
16.6.1,2019,08082,"29,00",,
16.6.1,2019,08081,"51,00",,
16.6.1,2019,08083,"56,00",,
16.6.1,2019,08084,"59,00",,
16.6.1,2019,08085,"73,00",,
16.6.1,2019,08086,"66,00",,
16.6.1,2019,08090,"77,00",,
16.6.1,2019,08087,"45,00",,
16.6.1,2019,08088,"75,00",,
16.6.1,2019,08089,"78,00",,
16.6.1,2019,08091,"54,00",,
16.6.1,2019,08092,"42,00",,
16.6.1,2019,08093,"41,00",,
16.6.1,2019,08094,"39,00",,
16.6.1,2019,08095,"58,00",,
16.6.1,2019,08096,"76,00",,
16.6.1,2019,08097,"40,00",,
16.6.1,2019,08099,"43,00",,
16.6.1,2019,08100,"69,00",,
16.6.1,2019,08101,"67,00",,
16.6.1,2019,08162,"48,00",,
16.6.1,2019,08102,"71,00",,
16.6.1,2019,08103,"64,00",,
16.6.1,2019,08104,"44,00",,
16.6.1,2019,08105,"66,00",,
16.6.1,2019,08107,"55,00",,
16.6.1,2019,08108,"45,00",,
16.6.1,2019,08106,"89,00",,
16.6.1,2019,8109,"65,00",,
16.6.1,2019,08110,"78,00",,
16.6.1,2019,08111,"45,00",,
16.6.1,2019,08112,"83,00",,
16.6.1,2019,08113,"89,00",,
16.6.1,2019,08242,"59,00",,
16.6.1,2019,08114,"46,00",,
16.6.1,2019,08115,"50,00",,
16.6.1,2019,08116,"52,00",,
16.6.1,2019,08117,"47,00",,
16.6.1,2019,08118,"75,00",,
16.6.1,2019,08119,"76,00",,
16.6.1,2019,08120,"72,00",,
16.6.1,2019,08121,"80,00",,
16.6.1,2019,08122,"61,00",,
16.6.1,2019,08138,"63,00",,
16.6.1,2019,08123,"52,00",,
16.6.1,2019,08124,"75,00",,
16.6.1,2019,08128,"35,00",,
16.6.1,2019,08127,"68,00",,
16.6.1,2019,08125,"51,00",,
16.6.1,2019,8130,"53,00",,
16.6.1,2019,08131,"48,00",,
16.6.1,2019,08126,"62,00",,
16.6.1,2019,08132,"34,00",,
16.6.1,2019,08133,"56,00",,
16.6.1,2019,08135,"56,00",,
16.6.1,2019,08136,"63,00",,
16.6.1,2019,08137,"56,00",,
16.6.1,2019,08129,"46,00",,
16.6.1,2019,08139,"55,00",,
16.6.1,2019,08140,"64,00",,
16.6.1,2019,08141,"66,00",,
16.6.1,2019,08142,"36,00",,
16.6.1,2019,08143,"52,00",,
16.6.1,2019,08145,"74,00",,
16.6.1,2019,08146,"66,00",,
16.6.1,2019,08147,"81,00",,
16.6.1,2019,08148,"63,00",,
16.6.1,2019,08149,"54,00",,
16.6.1,2019,08144,"40,00",,
16.6.1,2019,08150,"50,00",,
16.6.1,2019,08151,"46,00",,
16.6.1,2019,08152,"34,00",,
16.6.1,2019,08153,"42,00",,
16.6.1,2019,08154,"32,00",,
16.6.1,2019,08155,"67,00",,
16.6.1,2019,08156,"75,00",,
16.6.1,2019,08157,"40,00",,
16.6.1,2019,08905,"49,00",,
16.6.1,2019,08158,"56,00",,
16.6.1,2019,08159,"78,00",,
16.6.1,2019,08160,"54,00",,
16.6.1,2019,08161,"51,00",,
16.6.1,2019,08163,"71,00",,
16.6.1,2019,08164,"53,00",,
16.6.1,2019,08165,"68,00",,
16.6.1,2019,08166,"52,00",,
16.6.1,2019,08167,"65,00",,
16.6.1,2019,08182,"45,00",,
16.6.1,2019,08168,"37,00",,
16.6.1,2019,08169,"78,00",,
16.6.1,2019,08171,"59,00",,
16.6.1,2019,08170,"41,00",,
16.6.1,2019,08230,"70,00",,
16.6.1,2019,08172,"51,00",,
16.6.1,2019,08174,"32,00",,
16.6.1,2019,08175,"56,00",,
16.6.1,2019,08176,"36,00",,
16.6.1,2019,08177,"33,00",,
16.6.1,2019,08178,"52,00",,
16.6.1,2019,08179,"65,00",,
16.6.1,2019,08180,"56,00",,
16.6.1,2019,08181,"68,00",,
16.6.1,2019,08183,"64,00",,
16.6.1,2019,08184,"48,00",,
16.6.1,2019,08185,"40,00",,
16.6.1,2019,08901,"54,00",,
16.6.1,2019,08187,"57,00",,
16.6.1,2019,08188,"36,00",,
16.6.1,2019,08190,"41,00",,
16.6.1,2019,08191,"59,00",,
16.6.1,2019,08194,"42,00",,
16.6.1,2019,08195,"55,00",,
16.6.1,2019,08196,"73,00",,
16.6.1,2019,08197,"59,00",,
16.6.1,2019,08198,"65,00",,
16.6.1,2019,08199,"45,00",,
16.6.1,2019,08200,"54,00",,
16.6.1,2019,08201,"69,00",,
16.6.1,2019,08203,"52,00",,
16.6.1,2019,08202,"65,00",,
16.6.1,2019,08204,"45,00",,
16.6.1,2019,08205,"78,00",,
16.6.1,2019,08206,"75,00",,
16.6.1,2019,08207,"49,00",,
16.6.1,2019,08208,"68,00",,
16.6.1,2019,08210,"58,00",,
16.6.1,2019,08211,"83,00",,
16.6.1,2019,08212,"46,00",,
16.6.1,2019,08209,"43,00",,
16.6.1,2019,08213,"73,00",,
16.6.1,2019,08215,"48,00",,
16.6.1,2019,08193,"50,00",,
16.6.1,2019,08216,"26,00",,
16.6.1,2019,08218,"66,00",,
16.6.1,2019,08217,"53,00",,
16.6.1,2019,08903,"47,00",,
16.6.1,2019,08220,"44,00",,
16.6.1,2019,08221,"67,00",,
16.6.1,2019,08222,"70,00",,
16.6.1,2019,08223,"60,00",,
16.6.1,2019,08225,"70,00",,
16.6.1,2019,08224,"50,00",,
16.6.1,2019,08226,"61,00",,
16.6.1,2019,08227,"64,00",,
16.6.1,2019,08228,"50,00",,
16.6.1,2019,08229,"64,00",,
16.6.1,2019,08231,"69,00",,
16.6.1,2019,08232,"42,00",,
16.6.1,2019,08233,"34,00",,
16.6.1,2019,08234,"58,00",,
16.6.1,2019,08189,"51,00",,
16.6.1,2019,08235,"60,00",,
16.6.1,2019,08236,"53,00",,
16.6.1,2019,08237,"45,00",,
16.6.1,2019,08238,"81,00",,
16.6.1,2019,08239,"65,00",,
16.6.1,2019,08240,"56,00",,
16.6.1,2019,08241,"61,00",,
16.6.1,2019,08098,"57,00",,
16.6.1,2019,08262,"57,00",,
16.6.1,2019,08264,"67,00",,
16.6.1,2019,08265,"43,00",,
16.6.1,2019,08263,"77,00",,
16.6.1,2019,08243,"42,00",,
16.6.1,2019,08244,"62,00",,
16.6.1,2019,08245,"55,00",,
16.6.1,2019,08246,"52,00",,
16.6.1,2019,08247,"60,00",,
16.6.1,2019,08248,"52,00",,
16.6.1,2019,08249,"22,00",,
16.6.1,2019,08250,"49,00",,
16.6.1,2019,08251,"80,00",,
16.6.1,2019,08253,"41,00",,
16.6.1,2019,08256,"21,00",,
16.6.1,2019,08255,"34,00",,
16.6.1,2019,08257,"67,00",,
16.6.1,2019,08259,"72,00",,
16.6.1,2019,08258,"60,00",,
16.6.1,2019,08260,"75,00",,
16.6.1,2019,08261,"77,00",,
16.6.1,2019,08192,"69,00",,
16.6.1,2019,08267,"55,00",,
16.6.1,2019,08269,"54,00",,
16.6.1,2019,08270,"73,00",,
16.6.1,2019,08271,"53,00",,
16.6.1,2019,08272,"50,00",,
16.6.1,2019,08273,"73,00",,
16.6.1,2019,08274,"55,00",,
16.6.1,2019,08276,"36,00",,
16.6.1,2019,08277,"59,00",,
16.6.1,2019,08278,"56,00",,
16.6.1,2019,08275,"72,00",,
16.6.1,2019,08280,"35,00",,
16.6.1,2019,08281,"63,00",,
16.6.1,2019,08279,"81,00",,
16.6.1,2019,08282,"38,00",,
16.6.1,2019,08283,"57,00",,
16.6.1,2019,08284,"73,00",,
16.6.1,2019,08285,"79,00",,
