firstname,token,canals_participacio_act
Abrera,08001AA000,1 Actualitzat
Alella,08003AA000,1 Actualitzat
Ametlla del Vallès (L'),08005AA000,0 No actualitzat
Arenys de Mar,08006AA000,0 No actualitzat
Arenys de Munt,08007AA000,1 Actualitzat
Argentona,08009AA000,1 Actualitzat
Artés,08010AA000,0 No actualitzat
Begues,08020AA000,1 Actualitzat
Berga,08022AA000,1 Actualitzat
Bigues i Riells del Fai,08023AA000,1 Actualitzat
Cabrils,08030AA000,1 Actualitzat
Caldes de Montbui,08033AA000,1 Actualitzat
Calella,08035AA000,1 Actualitzat
Canet de Mar,08040AA000,1 Actualitzat
Canovelles,08041AA000,1 Actualitzat
Canyelles,08043AA000,0 No actualitzat
Capellades,08044AA000,1 Actualitzat
Cardedeu,08046AA000,1 Actualitzat
Castellbisbal,08054AA000,1 Actualitzat
Centelles,08067AA000,1 Actualitzat
Cervelló,08068AA000,1 Actualitzat
Corbera de Llobregat,08072AA000,1 Actualitzat
Cubelles,08074AA000,1 Actualitzat
Dosrius,08075AA000,1 Actualitzat
Garriga (La),08088AA000,1 Actualitzat
Gelida,08091AA000,0 No actualitzat
Llagosta (La),08105AA000,1 Actualitzat
Llinars del Vallès,08106AA000,1 Actualitzat
Lliçà d'Amunt,08107AA000,1 Actualitzat
Lliçà de Vall,08108AA000,0 No actualitzat
Malgrat de Mar,08110AA000,1 Actualitzat
Masquefa,08119AA000,0 No actualitzat
Matadepera,08120AA000,0 No actualitzat
Montgat,08126AA000,1 Actualitzat
Montmeló,08135AA000,1 Actualitzat
Montornès del Vallès,08136AA000,1 Actualitzat
Moià,08138AA000,1 Actualitzat
Navarcles,08140AA000,0 No actualitzat
Navàs,08141AA000,1 Actualitzat
Palafolls,08155AA000,1 Actualitzat
Palau-solità i Plegamans,08156AA000,1 Actualitzat
Pallejà,08157AA000,0 No actualitzat
Parets del Vallès,08159AA000,1 Actualitzat
Piera,08161AA000,0 No actualitzat
Polinyà,08167AA000,1 Actualitzat
Roca del Vallès (La),08181AA000,1 Actualitzat
Roda de Ter,08183AA000,1 Actualitzat
Sallent,08191AA000,1 Actualitzat
Santpedor,08192AA000,1 Actualitzat
Sant Andreu de Llavaneres,08197AA000,1 Actualitzat
Sant Antoni de Vilamajor,08198AA000,1 Actualitzat
Sant Celoni,08202AA000,1 Actualitzat
Sant Esteve Sesrovires,08208AA000,1 Actualitzat
Sant Fost de Campsentelles,08209AA000,1 Actualitzat
Sant Feliu de Codines,08210AA000,0 No actualitzat
Sant Fruitós de Bages,08213AA000,0 No actualitzat
