codi_municipi,any,valor_final
08001,1979,
08002,1979,
08014,1979,
08003,1979,
08004,1979,
08006,1979,
08007,1979,
08009,1979,
08008,1979,
08010,1979,
08013,1979,
08012,1979,
08011,1979,
08015,1979,
08904,1979,
08016,1979,
08017,1979,
08018,1979,
08252,1979,
08019,1979,
08020,1979,
08021,1979,
08022,1979,
08023,1979,
08024,1979,
08028,1979,
08029,1979,
08030,1979,
08031,1979,
08034,1979,
08032,1979,
08033,1979,
08035,1979,
08037,1979,
08038,1979,
08036,1979,
08039,1979,
08040,1979,
08041,1979,
08043,1979,
08044,1979,
08045,1979,
08046,1979,
08047,1979,
08048,1979,
08049,1979,
08057,1979,
08052,1979,
08050,1979,
08051,1979,
08053,1979,
08054,1979,
08055,1979,
08056,1979,
08058,1979,
08060,1979,
08059,1979,
08061,1979,
08062,1979,
08063,1979,
08064,1979,
08066,1979,
08065,1979,
08067,1979,
08268,1979,
08266,1979,
08068,1979,
08069,1979,
08070,1979,
08071,1979,
08072,1979,
08073,1979,
08074,1979,
08042,1979,
08075,1979,
08025,1979,
08026,1979,
08118,1979,
08158,1979,
08164,1979,
08182,1979,
08169,1979,
08162,1979,
08170,1979,
08076,1979,
08077,1979,
08134,1979,
08081,1979,
08082,1979,
08083,1979,
08084,1979,
08085,1979,
08080,1979,
08090,1979,
08087,1979,
08089,1979,
08091,1979,
08092,1979,
08093,1979,
08095,1979,
08096,1979,
08097,1979,
08099,1979,
08100,1979,
08102,1979,
08103,1979,
08005,1979,
08078,1979,
08254,1979,
08079,1979,
08101,1979,
08088,1979,
08094,1979,
08104,1979,
08105,1979,
08142,1979,
08905,1979,
08165,1979,
08166,1979,
08177,1979,
08181,1979,
08286,1979,
08027,1979,
08086,1979,
08116,1979,
08117,1979,
08106,1979,
08107,1979,
08108,1979,
08109,1979,
08110,1979,
08111,1979,
08112,1979,
08113,1979,
08242,1979,
08114,1979,
08115,1979,
08119,1979,
08120,1979,
08121,1979,
08122,1979,
08138,1979,
08123,1979,
08124,1979,
08128,1979,
08127,1979,
08125,1979,
08130,1979,
08131,1979,
08126,1979,
08132,1979,
08133,1979,
08135,1979,
08136,1979,
08137,1979,
08129,1979,
08139,1979,
08140,1979,
08141,1979,
08146,1979,
08147,1979,
08148,1979,
08149,1979,
08144,1979,
08145,1979,
08151,1979,
08152,1979,
08150,1979,
08154,1979,
08155,1979,
08156,1979,
08157,1979,
08159,1979,
08160,1979,
08161,1979,
08163,1979,
08167,1979,
08168,1979,
08171,1979,
08230,1979,
08172,1979,
08175,1979,
08174,1979,
08176,1979,
08178,1979,
08179,1979,
08180,1979,
08183,1979,
08185,1979,
08184,1979,
08901,1979,
08187,1979,
08188,1979,
08190,1979,
08191,1979,
08194,1979,
08195,1979,
08197,1979,
08196,1979,
08198,1979,
08199,1979,
08200,1979,
08201,1979,
08203,1979,
08202,1979,
08204,1979,
08206,1979,
08205,1979,
08208,1979,
08207,1979,
08212,1979,
08210,1979,
08211,1979,
08209,1979,
08213,1979,
08215,1979,
08193,1979,
08216,1979,
08217,1979,
08218,1979,
08903,1979,
08220,1979,
08221,1979,
08223,1979,
08222,1979,
08227,1979,
08228,1979,
08225,1979,
08224,1979,
08226,1979,
08229,1979,
08189,1979,
08231,1979,
08232,1979,
08233,1979,
08234,1979,
08235,1979,
08236,1979,
08239,1979,
08237,1979,
08238,1979,
08240,1979,
08241,1979,
08098,1979,
08262,1979,
08264,1979,
08265,1979,
08263,1979,
08243,1979,
08244,1979,
08245,1979,
08246,1979,
08247,1979,
08248,1979,
08249,1979,
08250,1979,
08251,1979,
08258,1979,
08253,1979,
08256,1979,
08255,1979,
08257,1979,
08259,1979,
08260,1979,
08261,1979,
08192,1979,
08267,1979,
08269,1979,
08270,1979,
08271,1979,
08272,1979,
08273,1979,
08274,1979,
08276,1979,
08277,1979,
08278,1979,
08280,1979,
08275,1979,
08281,1979,
08279,1979,
08282,1979,
08283,1979,
08284,1979,
08285,1979,
08287,1979,
08288,1979,
08289,1979,
08290,1979,
08291,1979,
08292,1979,
08293,1979,
08294,1979,
08295,1979,
08296,1979,
08297,1979,
08298,1979,
08299,1979,
08301,1979,
08300,1979,
08305,1979,
08306,1979,
08303,1979,
08302,1979,
08902,1979,
08307,1979,
08214,1979,
08219,1979,
08304,1979,
08308,1979,
08143,1979,
08153,1979,
08001,1983,
08002,1983,
08014,1983,
08003,1983,
08004,1983,
08006,1983,
08007,1983,
08009,1983,
08008,1983,
08010,1983,
08013,1983,
08012,1983,
08011,1983,
08015,1983,
08904,1983,
08016,1983,
08017,1983,
08018,1983,
08252,1983,
08019,1983,
08020,1983,
08021,1983,
08022,1983,
08023,1983,
08024,1983,
08028,1983,
08029,1983,
08030,1983,
08031,1983,
08034,1983,
08032,1983,
08033,1983,
08035,1983,
08037,1983,
08038,1983,
08036,1983,
08039,1983,
08040,1983,
08041,1983,
08043,1983,
08044,1983,
08045,1983,
08046,1983,
08047,1983,
08048,1983,
08049,1983,
08057,1983,
08052,1983,
08050,1983,
08051,1983,
08053,1983,
08054,1983,
08055,1983,
08056,1983,
08058,1983,
08060,1983,
08059,1983,
08061,1983,
08062,1983,
08063,1983,
08064,1983,
08066,1983,
08065,1983,
08067,1983,
08268,1983,
08266,1983,
08068,1983,
08069,1983,
08070,1983,
08071,1983,
08072,1983,
08073,1983,
08074,1983,
08042,1983,
08075,1983,
08025,1983,
08026,1983,
08118,1983,
08158,1983,
08164,1983,
08182,1983,
08169,1983,
08162,1983,
08170,1983,
08076,1983,
08077,1983,
08134,1983,
08081,1983,
08082,1983,
08083,1983,
08084,1983,
08085,1983,
08080,1983,
08090,1983,
08087,1983,
08089,1983,
08091,1983,
