codi_municipi,sexe,any
8266,H,2015
8266,D,2015
8266,H,2015
8266,D,2015
8266,D,2015
8172,H,2015
8172,D,2015
8172,D,2015
8172,H,2015
8230,H,2015
8230,H,2015
8096,H,2015
8096,D,2015
8187,H,2015
8187,D,2015
8187,H,2015
8187,D,2015
8205,D,2015
8113,H,2015
8172,H,2015
8172,H,2015
8125,H,2015
8054,H,2015
8266,D,2015
8089,D,2015
8121,D,2015
8187,H,2015
8187,H,2015
8205,H,2015
8205,H,2015
8019,H,2015
8264,H,2015
8187,H,2015
8301,D,2015
8218,D,2015
8218,H,2015
8218,H,2015
8218,D,2015
8068,D,2015
8056,H,2015
8056,D,2015
8074,D,2015
8074,H,2015
8074,D,2015
8260,H,2015
8223,H,2015
8223,H,2015
8205,D,2015
8205,D,2015
8205,H,2015
8156,H,2015
8069,H,2015
8069,H,2015
8182,H,2015
8182,H,2015
8151,H,2015
8151,D,2015
8151,H,2015
8089,H,2015
8089,H,2015
8028,H,2015
8204,H,2015
8204,H,2015
8219,H,2015
8219,D,2015
8036,H,2015
8036,H,2015
8156,D,2015
8043,D,2015
8074,H,2015
8260,D,2015
8262,H,2015
8140,H,2015
8260,D,2015
8260,D,2015
8260,H,2015
8260,D,2015
8260,H,2015
8260,H,2015
8260,H,2015
8260,H,2015
8184,H,2015
8184,D,2015
8202,D,2015
8112,H,2015
8035,H,2015
8040,D,2015
8009,H,2015
8015,D,2015
8015,H,2015
8088,D,2015
8135,H,2015
8105,D,2015
8076,D,2015
8115,H,2015
8008,H,2015
8008,H,2015
8169,D,2015
8256,H,2015
8136,D,2015
8169,H,2015
8167,D,2015
8125,H,2015
8169,H,2015
8169,D,2015
8135,H,2015
8135,H,2015
8169,D,2015
8091,H,2015
8181,H,2015
8169,H,2015
8136,H,2015
8148,H,2015
8135,D,2015
8135,D,2015
8301,H,2015
8286,D,2015
8196,D,2015
8076,H,2015
8136,H,2015
8136,D,2015
8125,D,2015
8125,D,2015
8126,D,2015
8155,H,2015
8217,D,2015
8126,D,2015
8125,D,2015
8181,H,2015
8172,H,2015
8172,D,2015
8169,D,2015
8169,H,2015
8163,H,2015
8169,H,2015
8105,H,2015
8118,H,2015
8121,H,2015
8238,D,2015
8256,D,2015
8076,H,2015
8118,D,2015
8028,H,2015
8301,D,2015
8105,D,2015
8105,H,2015
8148,D,2015
8248,H,2015
8250,D,2015
8217,D,2015
8136,H,2015
8169,D,2015
8135,D,2015
8136,D,2015
8008,D,2015
8256,H,2015
8194,H,2015
8194,H,2015
8169,H,2015
8205,H,2015
8107,H,2015
8105,D,2015
8205,D,2015
8179,H,2015
8073,H,2015
8073,H,2015
8266,D,2015
8200,H,2015
8200,D,2015
