INE,Font,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
8001,gas_natural,"1,543","1,436","1,267","1,396","1,572","1,683","1,587","1,536","1,465","1,480","1,433","1,277","1,385"
8002,gas_natural,0,0,0,0,0,0,0,0,0,0,0,0,0
8003,gas_natural,"4,033","3,150","3,175","3,552","3,705","3,825","3,424","3,236","3,192",577,"3,008","2,923","2,945"
8004,gas_natural,0,0,0,0,0,0,0,0,0,0,0,0,0
8005,gas_natural,402,371,809,754,"1,203","1,031",936,"1,254","1,312",#REF!,"1,428","1,262","1,512"
8006,gas_natural,"2,549","2,289","2,015","2,275","2,297","2,353","2,159","2,044","2,007","1,810","1,742","1,616","1,630"
8007,gas_natural,"2,647","2,175","2,090","2,364","2,393","2,400","2,229","2,117","1,972","1,743","1,737","1,621","1,662"
8008,gas_natural,0,0,0,0,0,0,0,0,0,0,0,0,0
8009,gas_natural,"2,841","2,245","2,268","2,464","2,367","2,660","2,187","2,240","2,175","1,885","2,082","1,803","2,009"
8010,gas_natural,739,948,"1,182","1,370","1,587","1,675","1,564","1,664","1,533","1,451","1,439","1,443","1,488"
8011,gas_natural,"1,137","1,136","1,136","1,355","1,437","1,629","1,421","1,415","1,447","1,245","1,219","1,282","1,234"
8012,gas_natural,0,0,0,0,0,0,0,0,0,0,0,0,0
8013,gas_natural,0,0,0,0,0,0,0,0,0,0,0,0,0
8014,gas_natural,"3,279","2,559","2,831","2,525","3,863","2,814","2,921","3,160","2,868","2,690","2,492","2,734","2,860"
8015,gas_natural,"1,560","1,510","1,359","1,421","1,410","1,545","1,353","1,316","1,273","1,148","1,198","1,050","1,114"
8016,gas_natural,0,0,0,0,0,0,0,0,0,271,621,847,948
8017,gas_natural,"2,013","1,936","1,885","1,896","2,161","2,232","2,110","2,098","2,102","1,899","1,878","1,795","1,890"
8018,gas_natural,"2,312","2,219","2,128","2,310","2,404","2,200","2,233","2,171","2,085","2,305","1,785","1,946","2,003"
8019,gas_natural,"1,950","1,769","1,569","1,614","1,712","1,795","1,590","1,559","1,561","1,456","1,472","1,351","1,377"
8020,gas_natural,0,0,0,0,0,0,0,0,0,0,609,749,"1,036"
8021,gas_natural,0,0,0,0,0,0,0,0,0,0,0,0,0
8022,gas_natural,"2,483","2,154","2,174","2,369","2,267","2,553","2,150","2,279","2,245","2,004","2,023","2,082","1,903"
8023,gas_natural,0,0,0,0,0,0,0,0,0,0,0,0,0
8024,gas_natural,0,0,0,0,0,0,0,0,0,0,0,0,0
8025,gas_natural,0,0,0,0,0,0,0,0,0,0,0,0,0
8026,gas_natural,0,0,0,0,0,0,0,0,0,0,0,0,0
8027,gas_natural,0,0,0,0,0,0,0,0,0,0,0,0,0
8028,gas_natural,0,0,0,0,0,0,0,0,0,0,4,287,364
8029,gas_natural,"3,193","2,656","2,730","3,074","3,008","3,425","2,800","2,918","2,845","2,370","2,621","2,355","2,563"
8030,gas_natural,"4,920","4,904","4,096","4,667","4,401","5,052","3,884","4,227","3,972","3,370","3,710","3,304","3,510"
8031,gas_natural,"2,133","1,724","1,930","1,542","2,763","2,440","1,611","2,080","2,249","1,983","2,116","2,515","2,305"
8032,gas_natural,"3,637","3,213","2,640","2,856","3,223","3,268","3,050","2,752","2,862","2,478","2,487","2,215","2,195"
8033,gas_natural,"1,345","1,348","1,223","1,389","1,347","1,578","1,330","1,430","1,384","1,301","1,345","1,241","1,378"
8034,gas_natural,0,0,0,0,0,0,0,0,0,0,0,0,0
8035,gas_natural,"1,529","1,724","1,336","1,480","1,527","1,657","1,477","1,464","1,431","1,253","1,309","1,183","1,232"
8036,gas_natural,0,0,0,0,0,0,0,0,0,0,0,0,0
8037,gas_natural,0,0,0,0,0,0,0,0,0,0,0,805,"2,022"
8038,gas_natural,0,S.E.,450,"1,432","1,816","1,918","1,865","1,903","1,788","1,710","1,740","1,715","1,739"
8039,gas_natural,0,0,0,0,0,0,0,0,0,0,0,0,0
8040,gas_natural,"2,266","2,125","1,811","2,020","2,017","2,110","1,948","1,815","1,777","1,572","1,541","1,413","1,414"
8041,gas_natural,"2,002","1,980","1,847","1,357","2,159","1,840","1,382","1,900","1,592","1,374","1,272","1,493","1,413"
8042,gas_natural,0,0,0,0,0,0,0,0,0,0,0,0,0
8043,gas_natural,0,0,0,0,0,0,0,0,0,0,0,0,0
8044,gas_natural,"2,227","2,489","2,254","2,457","2,563","2,589","2,558","2,275","2,330","2,250","2,230","2,024","2,150"
8045,gas_natural,0,0,0,0,0,0,0,0,0,0,0,0,0
8046,gas_natural,"2,371","2,171","1,947","2,074","2,249","2,256","2,102","2,024","1,974","1,803","1,839","1,620","1,697"
8047,gas_natural,0,0,0,0,0,0,0,0,0,0,0,S.E.,445
8048,gas_natural,0,0,0,0,0,0,0,0,0,0,0,0,0
8049,gas_natural,0,0,0,0,0,0,0,0,0,0,0,0,0
8050,gas_natural,0,0,0,0,0,0,0,0,0,0,0,0,0
8051,gas_natural,"2,811","2,657","2,339","2,473","2,666","2,739","2,475","2,252","2,260","2,088","2,190","1,990","2,087"
8052,gas_natural,0,0,0,0,0,0,0,0,0,0,0,0,0
8053,gas_natural,446,857,"1,206","1,423","1,430","1,484","1,451","1,399","1,337","1,270","1,269","1,154","1,182"
8054,gas_natural,"2,361","2,014","1,888","2,000","1,933","2,115","1,808","1,754","1,737","1,454","1,601","1,390","1,669"
8055,gas_natural,0,0,0,0,0,0,0,0,0,0,0,0,0
8056,gas_natural,"1,993","2,032","1,829","1,804","1,757","1,892","1,622","1,665","1,644","1,528","1,438","1,434","1,448"
8057,gas_natural,0,0,0,0,0,0,0,0,0,0,0,0,0
8058,gas_natural,741,726,628,681,728,702,628,613,557,536,603,636,688
8059,gas_natural,0,0,0,0,0,0,0,0,0,0,0,0,0
8060,gas_natural,0,0,0,0,0,0,0,0,0,0,0,0,0
8061,gas_natural,0,0,0,88,504,512,426,688,871,792,935,"1,046",693
8062,gas_natural,0,0,0,0,0,0,0,0,0,0,0,0,0
8063,gas_natural,0,0,0,0,0,0,0,0,0,0,0,0,0
8064,gas_natural,0,0,0,83,351,719,962,"1,187","1,284","1,189","1,189","1,247","1,399"
8065,gas_natural,0,0,0,0,0,0,0,0,0,0,0,0,0
8066,gas_natural,0,0,0,0,0,0,0,0,0,0,16,286,349
8067,gas_natural,"2,129","2,170","1,994","2,188","2,387","2,574","2,380","2,380","2,334","2,097","2,153","2,074","2,137"
8068,gas_natural,"1,239","1,444","1,543","1,653","1,787","1,840","1,722","1,594","1,540","1,540","1,703","1,641","1,719"
8069,gas_natural,0,0,0,0,0,0,0,0,0,0,0,0,0
8070,gas_natural,0,0,0,0,0,0,0,0,0,0,0,0,0
8071,gas_natural,0,0,0,0,0,0,0,0,0,0,0,0,0
8072,gas_natural,351,380,380,468,563,622,612,580,615,623,780,807,"1,035"
8073,gas_natural,"1,392","1,340","1,163","1,133","1,230","1,241","1,182","1,106","1,068","1,040",990,916,958
8074,gas_natural,"1,593","1,810","1,639","1,673","1,701","1,762","1,590","1,506","1,471","1,401","1,469","1,275","1,387"
8075,gas_natural,608,526,600,637,665,760,629,649,606,507,584,517,597
8076,gas_natural,"2,004","1,741","1,734","1,903","1,881","2,038","1,754","1,769","1,694","1,616","1,626","1,411","1,560"
8077,gas_natural,"1,796","1,755","1,613","1,494","1,635","1,685","1,439","1,497","1,426","1,198","1,384","1,446","1,409"
8078,gas_natural,0,0,0,0,0,0,0,0,0,0,0,0,0
8079,gas_natural,0,0,0,0,0,0,0,0,0,0,0,0,0
8080,gas_natural,0,0,0,0,0,0,0,0,0,0,0,0,0
8081,gas_natural,0,0,0,0,0,0,0,0,0,0,0,0,0
8082,gas_natural,0,0,0,0,0,0,0,0,0,0,0,0,0
8083,gas_natural,0,0,0,0,0,0,0,0,0,0,0,0,0
8084,gas_natural,0,0,0,0,0,0,0,0,0,0,0,0,0
8085,gas_natural,0,0,0,0,0,0,0,0,0,0,0,0,0
8086,gas_natural,"2,462","2,182","1,984","2,048","2,128","2,127","1,975","1,823","1,808","1,665","1,672","1,469","1,539"
8087,gas_natural,0,0,0,0,0,0,0,0,0,0,0,0,0
8088,gas_natural,"2,975","2,449","2,461","1,981","3,332","2,739","2,168","2,626","2,287","2,060","1,999","2,209","2,221"
8089,gas_natural,"1,744","1,628","1,450","1,496","1,540","1,636","1,471","1,430","1,404","1,339","1,273","1,173","1,268"
8090,gas_natural,0,0,0,0,0,0,0,0,0,0,0,0,0
8091,gas_natural,0,0,0,21,525,698,701,705,797,799,874,844,921
8092,gas_natural,"2,181","2,169","2,159","2,287","2,476","2,510","2,211","2,234","2,271","1,975","2,013","2,079","2,129"
8093,gas_natural,0,0,0,0,0,0,0,0,0,0,0,0,0
