codi_indicador,any,codi_municipi,nom_municipi,valor_final
9.8,2021,8001,Abrera,"0,99"
9.8,2021,8002,Aguilar de Segarra,"0,00"
9.8,2021,8003,Alella,"0,98"
9.8,2021,8004,Alpens,"0,97"
9.8,2021,8005,L'Ametlla del Vallès,"0,96"
9.8,2021,8006,Arenys de Mar,"0,97"
9.8,2021,8007,Arenys de Munt,"0,95"
9.8,2021,8008,Argençola,"0,10"
9.8,2021,8009,Argentona,"0,99"
9.8,2021,8010,Artés,"0,96"
9.8,2021,8011,Avià,"0,92"
9.8,2021,8012,Avinyó,"0,00"
9.8,2021,8013,Avinyonet del Penedès,"1,00"
9.8,2021,8014,Aiguafreda,"0,99"
9.8,2021,8015,Badalona,"1,00"
9.8,2021,8016,Bagà,"0,78"
9.8,2021,8017,Balenyà,"0,99"
9.8,2021,8018,Balsareny,"0,97"
9.8,2021,8019,Barcelona,"1,00"
9.8,2021,8020,Begues,"0,97"
9.8,2021,8021,Bellprat,"0,00"
9.8,2021,8022,Berga,"0,98"
9.8,2021,8023,Bigues i Riells del Fai,"0,91"
9.8,2021,8024,Borredà,"0,92"
9.8,2021,8025,El Bruc,"0,94"
9.8,2021,8026,El Brull,"0,54"
9.8,2021,8027,Les Cabanyes,"1,00"
9.8,2021,8028,Cabrera d'Anoia,"0,98"
9.8,2021,8029,Cabrera de Mar,"0,94"
9.8,2021,8030,Cabrils,"0,97"
9.8,2021,8031,Calaf,"0,98"
9.8,2021,8032,Caldes d'Estrac,"0,99"
9.8,2021,8033,Caldes de Montbui,"0,98"
9.8,2021,8034,Calders,"0,84"
9.8,2021,8035,Calella,"1,00"
9.8,2021,8036,Calonge de Segarra,"0,01"
9.8,2021,8037,Calldetenes,"0,97"
9.8,2021,8038,Callús,"0,87"
9.8,2021,8039,Campins,"0,00"
9.8,2021,8040,Canet de Mar,"1,00"
9.8,2021,8041,Canovelles,"0,99"
9.8,2021,8042,Cànoves i Samalús,"0,95"
9.8,2021,8043,Canyelles,"1,00"
9.8,2021,8044,Capellades,"1,00"
9.8,2021,8045,Capolat,"0,09"
9.8,2021,8046,Cardedeu,"0,99"
9.8,2021,8047,Cardona,"0,63"
9.8,2021,8048,Carme,"1,00"
9.8,2021,8049,Casserres,"0,12"
9.8,2021,8050,Castellar del Riu,"0,00"
9.8,2021,8051,Castellar del Vallès,"0,99"
9.8,2021,8052,Castellar de n'Hug,"0,00"
9.8,2021,8053,Castellbell i el Vilar,"0,93"
9.8,2021,8054,Castellbisbal,"0,98"
9.8,2021,8055,Castellcir,"0,65"
9.8,2021,8056,Castelldefels,"1,00"
9.8,2021,8057,Castell de l'Areny,"0,75"
9.8,2021,8058,Castellet i la Gornal,"0,82"
9.8,2021,8059,Castellfollit del Boix,"0,00"
9.8,2021,8060,Castellfollit de Riubregós,"0,00"
9.8,2021,8061,Castellgalí,"0,95"
9.8,2021,8062,Castellnou de Bages,"0,94"
9.8,2021,8063,Castellolí,"0,92"
9.8,2021,8064,Castellterçol,"0,97"
9.8,2021,8065,Castellví de la Marca,"1,00"
9.8,2021,8066,Castellví de Rosanes,"0,92"
9.8,2021,8067,Centelles,"0,91"
9.8,2021,8068,Cervelló,"0,98"
9.8,2021,8069,Collbató,"0,98"
9.8,2021,8070,Collsuspina,"0,82"
9.8,2021,8071,Copons,"0,91"
9.8,2021,8072,Corbera de Llobregat,"0,99"
9.8,2021,8073,Cornellà de Llobregat,"1,00"
9.8,2021,8074,Cubelles,"0,99"
9.8,2021,8075,Dosrius,"0,92"
9.8,2021,8076,Esparreguera,"0,99"
9.8,2021,8077,Esplugues de Llobregat,"1,00"
9.8,2021,8078,L'Espunyola,"0,00"
9.8,2021,8079,L'Estany,"0,92"
9.8,2021,8080,Fígols,"0,00"
9.8,2021,8081,Fogars de Montclús,"0,13"
9.8,2021,8082,Fogars de la Selva,"0,85"
9.8,2021,8083,Folgueroles,"0,97"
9.8,2021,8084,Fonollosa,"0,00"
9.8,2021,8085,Font-rubí,"0,64"
9.8,2021,8086,Les Franqueses del Vallès,"0,95"
9.8,2021,8087,Gallifa,"0,48"
9.8,2021,8088,La Garriga,"0,99"
9.8,2021,8089,Gavà,"0,99"
9.8,2021,8090,Gaià,"0,22"
9.8,2021,8091,Gelida,"0,97"
9.8,2021,8092,Gironella,"0,93"
9.8,2021,8093,Gisclareny,"0,00"
9.8,2021,8094,La Granada,"1,00"
