nom,codi,AMB,RMB,zona
Abrera,08001,,1,
Aguilar de Segarra,08002,,,Comarques Centrals
Alella,08003,,1,
Alpens,08004,,,Comarques Centrals
"Ametlla del Vallès, l'",08005,,1,Vallès
Arenys de Mar,08006,,1,
Arenys de Munt,08007,,1,
Argençola,08008,,,Penedès
Argentona,08009,,1,
Artés,08010,,,Comarques Centrals
Avià,08011,,,Comarques Centrals
Avinyó,08012,,,Comarques Centrals
Avinyonet del Penedès,08013,,,Penedès
Aiguafreda,08014,,1,Vallès
Badalona,08015,1,1,
Bagà,08016,,,Comarques Centrals
Balenyà,08017,,,Comarques Centrals
Balsareny,08018,,,Comarques Centrals
Barcelona,08019,1,1,
Begues,08020,1,1,
Bellprat,08021,,,Penedès
Berga,08022,,,Comarques Centrals
Bigues i Riells del Fai,08023,,1,Vallès
Borredà,08024,,,Comarques Centrals
"Bruc, el",08025,,,Penedès
"Brull, el",08026,,,Comarques Centrals
"Cabanyes, les",08027,,,Penedès
Cabrera d'Anoia,08028,,,Penedès
Cabrera de Mar,08029,,1,
Cabrils,08030,,1,
Calaf,08031,,,Comarques Centrals
Caldes d'Estrac,08032,,1,
Caldes de Montbui,08033,,1,Vallès
Calders,08034,,,Comarques Centrals
Calella,08035,,1,
Calonge de Segarra,08036,,,Comarques Centrals
Calldetenes,08037,,,Comarques Centrals
Callús,08038,,,Comarques Centrals
Campins,08039,,1,Vallès
Canet de Mar,08040,,1,
Canovelles,08041,,1,Vallès
Cànoves i Samalús,08042,,1,Vallès
Canyelles,08043,,,Penedès
Capellades,08044,,,Penedès
Capolat,08045,,,Comarques Centrals
Cardedeu,08046,,1,Vallès
Cardona,08047,,,Comarques Centrals
Carme,08048,,,Penedès
Casserres,08049,,,Comarques Centrals
Castellar del Riu,08050,,,Comarques Centrals
Castellar del Vallès,08051,,1,Vallès
Castellar de n'Hug,08052,,,Comarques Centrals
Castellbell i el Vilar,08053,,,Comarques Centrals
Castellbisbal,08054,1,1,Vallès
Castellcir,08055,,,Comarques Centrals
Castelldefels,08056,1,1,
Castell de l'Areny,08057,,,Comarques Centrals
Castellet i la Gornal,08058,,,Penedès
Castellfollit del Boix,08059,,,Comarques Centrals
Castellfollit de Riubregós,08060,,,Comarques Centrals
Castellgalí,08061,,,Comarques Centrals
Castellnou de Bages,08062,,,Comarques Centrals
Castellolí,08063,,,Penedès
Castellterçol,08064,,,Comarques Centrals
Castellví de la Marca,08065,,,Penedès
Castellví de Rosanes,08066,,1,
Centelles,08067,,,Comarques Centrals
Cervelló,08068,1,1,
Collbató,08069,,1,
Collsuspina,08070,,,Comarques Centrals
Copons,08071,,,Penedès
Corbera de Llobregat,08072,1,1,
Cornellà de Llobregat,08073,1,1,
Cubelles,08074,,,Penedès
Dosrius,08075,,1,
Esparreguera,08076,,1,
Esplugues de Llobregat,08077,1,1,
"Espunyola, l'",08078,,,Comarques Centrals
"Estany, l'",08079,,,Comarques Centrals
Fígols,08080,,,Comarques Centrals
Fogars de Montclús,08081,,1,Vallès
Fogars de la Selva,08082,,,
Folgueroles,08083,,,Comarques Centrals
Fonollosa,08084,,,Comarques Centrals
Font-rubí,08085,,,Penedès
"Franqueses del Vallès, les",08086,,1,Vallès
Gallifa,08087,,1,Vallès
"Garriga, la",08088,,1,Vallès
Gavà,08089,1,1,
Gaià,08090,,,Comarques Centrals
Gelida,08091,,,Penedès
Gironella,08092,,,Comarques Centrals
Gisclareny,08093,,,Comarques Centrals
"Granada, la",08094,,,Penedès
Granera,08095,,,Comarques Centrals
Granollers,08096,,1,Vallès
Gualba,08097,,1,Vallès
Sant Salvador de Guardiola,08098,,,Comarques Centrals
Guardiola de Berguedà,08099,,,Comarques Centrals
Gurb,08100,,,Comarques Centrals
"Hospitalet de Llobregat, l'",08101,1,1,
Igualada,08102,,,Penedès
Jorba,08103,,,Penedès
"Llacuna, la",08104,,,Penedès
"Llagosta, la",08105,,1,Vallès
Llinars del Vallès,08106,,1,Vallès
Lliçà d'Amunt,08107,,1,Vallès
Lliçà de Vall,08108,,1,Vallès
Lluçà,08109,,,Comarques Centrals
Malgrat de Mar,08110,,1,
Malla,08111,,,Comarques Centrals
Manlleu,08112,,,Comarques Centrals
Manresa,08113,,,Comarques Centrals
Martorell,08114,,1,
Martorelles,08115,,1,Vallès
"Masies de Roda, les",08116,,,Comarques Centrals
"Masies de Voltregà, les",08117,,,Comarques Centrals
"Masnou, el",08118,,1,
Masquefa,08119,,,Penedès
Matadepera,08120,,1,Vallès
Mataró,08121,,1,
Mediona,08122,,,Penedès
Molins de Rei,08123,1,1,
Mollet del Vallès,08124,,1,Vallès
Montcada i Reixac,08125,1,1,Vallès
Montgat,08126,1,1,
Monistrol de Montserrat,08127,,,Comarques Centrals
Monistrol de Calders,08128,,,Comarques Centrals
Muntanyola,08129,,,Comarques Centrals
Montclar,08130,,,Comarques Centrals
Montesquiu,08131,,,Comarques Centrals
Montmajor,08132,,,Comarques Centrals
Montmaneu,08133,,,Penedès
Figaró-Montmany,08134,,1,Vallès
Montmeló,08135,,1,Vallès
Montornès del Vallès,08136,,1,Vallès
Montseny,08137,,1,Vallès
Moià,08138,,,Comarques Centrals
Mura,08139,,,Comarques Centrals
Navarcles,08140,,,Comarques Centrals
Navàs,08141,,,Comarques Centrals
"Nou de Berguedà, la",08142,,,Comarques Centrals
Òdena,08143,,,Penedès
Olvan,08144,,,Comarques Centrals
Olèrdola,08145,,,Penedès
Olesa de Bonesvalls,08146,,,Penedès
Olesa de Montserrat,08147,,1,
Olivella,08148,,,Penedès
Olost,08149,,,Comarques Centrals
Orís,08150,,,Comarques Centrals
Oristà,08151,,,Comarques Centrals
Orpí,08152,,,Penedès
Òrrius,08153,,1,
Pacs del Penedès,08154,,,Penedès
Palafolls,08155,,1,
Palau-solità i Plegamans,08156,,1,Vallès
Pallejà,08157,1,1,
"Papiol, el",08158,1,1,
