nom,codi,comarca,zona,rural,any
Avià,08011,Berguedà,Catalunya Central,Rural,2025
Avinyó,08012,Bages,Catalunya Central,Rural,2025
Avinyonet del Penedès,08013,Alt Penedès,Penedès,Rural,2025
Bagà,08016,Berguedà,Catalunya Central,Rural,2025
Cabrera d’Anoia,08028,Anoia,Penedès,Rural,2025
Carme,08048,Anoia,Penedès,Rural,2025
Castellfollit del Boix,08059,Bages,Catalunya Central,Rural,2025
Castellolí,08063,Anoia,Penedès,Rural,2025
Castellví de la Marca,08065,Alt Penedès,Penedès,Rural,2025
Figaró-Montmany,08134,Vallès Oriental,Barcelona,Rural,2025
Fogars de la Selva,08082,Selva,Girona,Rural,2025
Fonollosa,08084,Bages,Catalunya Central,Rural,2025
Font-rubí,08085,Alt Penedès,Penedès,Rural,2025
Gallifa,08087,Vallès Occidental,Barcelona,Rural,2025
Gualba,08097,Vallès Oriental,Barcelona,Rural,2025
Jorba,08103,Anoia,Penedès,Rural,2025
Montclar,08130,Berguedà,Catalunya Central,Rural,2025
Pacs del Penedès,08154,Alt Penedès,Penedès,Rural,2025
Perafita,08160,Lluçanès,Catalunya Central,Rural,2025
Pontons,08168,Alt Penedès,Penedès,Rural,2025
Puigdàlber,08174,Alt Penedès,Penedès,Rural,2025
Rajadell,08178,Bages,Catalunya Central,Rural,2025
Rupit i Pruit,08901,Osona,Catalunya Central,Rural,2025
Saldes,08190,Berguedà,Catalunya Central,Rural,2025
Sant Agustí de Lluçanès,08195,Osona,Catalunya Central,Rural,2025
Sant Bartomeu del Grau,08199,Osona,Catalunya Central,Rural,2025
Sant Cugat Sesgarrigues,08206,Alt Penedès,Penedès,Rural,2025
Sant Julià de Cerdanyola,08903,Berguedà,Catalunya Central,Rural,2025
Sant Martí d’Albars,08225,Lluçanès,Catalunya Central,Rural,2025
Sant Martí de Tous,08226,Anoia,Penedès,Rural,2025
Sant Mateu de Bages,08229,Bages,Catalunya Central,Rural,2025
Sant Pere Sallavinera,08189,Anoia,Catalunya Central,Rural,2025
Sant Quirze Safaja,08239,Moianès,Catalunya Central,Rural,2025
Sant Sadurní d’Osormort,08241,Osona,Catalunya Central,Rural,2025
Santa Eulàlia de Riuprimer,08247,Osona,Catalunya Central,Rural,2025
Sobremunt,08271,Lluçanès,Catalunya Central,Rural,2025
Tagamanent,08276,Vallès Oriental,Barcelona,Rural,2025
Tavertet,08280,Osona,Catalunya Central,Rural,2025
Torrelavit,08287,Alt Penedès,Penedès,Rural,2025
Vallbona d’Anoia,08292,Anoia,Penedès,Rural,2025
Vallcebre,08293,Berguedà,Catalunya Central,Rural,2025
Vilanova de Sau,08303,Osona,Catalunya Central,Rural,2025
Vilobí del Penedès,08304,Alt Penedès,Penedès,Rural,2025
Viver i Serrateix,08308,Berguedà,Catalunya Central,Rural,2025
Aguilar de Segarra,08002,Bages,Catalunya Central,Rural EA,2025
Alpens,08004,Lluçanès,Catalunya Central,Rural EA,2025
Argençola,08008,Anoia,Penedès,Rural EA,2025
Bellprat,08021,Anoia,Penedès,Rural EA,2025
Borredà,08024,Berguedà,Catalunya Central,Rural EA,2025
Calders,08034,Moianès,Catalunya Central,Rural EA,2025
Calonge de Segarra,08036,Anoia,Catalunya Central,Rural EA,2025
Campins,08039,Vallès Oriental,Barcelona,Rural EA,2025
Capolat,08045,Berguedà,Catalunya Central,Rural EA,2025
Casserres,08049,Berguedà,Catalunya Central,Rural EA,2025
Castell de l’Areny,08057,Berguedà,Catalunya Central,Rural EA,2025
Castellar de n’Hug,08052,Berguedà,Catalunya Central,Rural EA,2025
Castellar del Riu,08050,Berguedà,Catalunya Central,Rural EA,2025
Castellcir,08055,Moianès,Catalunya Central,Rural EA,2025
Castellfollit de Riubregós,08060,Anoia,Catalunya Central,Rural EA,2025
Castellnou de Bages,08062,Bages,Catalunya Central,Rural EA,2025
Cercs,08268,Berguedà,Catalunya Central,Rural EA,2025
Collsuspina,08070,Moianès,Catalunya Central,Rural EA,2025
Copons,08071,Anoia,Penedès,Rural EA,2025
Fígols,08080,Berguedà,Catalunya Central,Rural EA,2025
Fogars de Montclús,08081,Vallès Oriental,Barcelona,Rural EA,2025
Gaià,08090,Bages,Catalunya Central,Rural EA,2025
Gisclareny,08093,Berguedà,Catalunya Central,Rural EA,2025
Granera,08095,Moianès,Catalunya Central,Rural EA,2025
Guardiola de Berguedà,08099,Berguedà,Catalunya Central,Rural EA,2025
Lluçà,08109,Lluçanès,Catalunya Central,Rural EA,2025
Malla,08111,Osona,Catalunya Central,Rural EA,2025
Marganell,08242,Bages,Catalunya Central,Rural EA,2025
Monistrol de Calders,08128,Moianès,Catalunya Central,Rural EA,2025
Montesquiu,08131,Osona,Catalunya Central,Rural EA,2025
Montmajor,08132,Berguedà,Catalunya Central,Rural EA,2025
Montmaneu,08133,Anoia,Penedès,Rural EA,2025
Montseny,08137,Vallès Oriental,Barcelona,Rural EA,2025
Muntanyola,08129,Osona,Catalunya Central,Rural EA,2025
Mura,08139,Bages,Catalunya Central,Rural EA,2025
Olost,08149,Lluçanès,Catalunya Central,Rural EA,2025
Olvan,08144,Berguedà,Catalunya Central,Rural EA,2025
Orís,08150,Osona,Catalunya Central,Rural EA,2025
Oristà,08151,Lluçanès,Catalunya Central,Rural EA,2025
Orpí,08152,Anoia,Penedès,Rural EA,2025
Pujalt,08176,Anoia,Catalunya Central,Rural EA,2025
Rellinars,08179,Vallès Occidental,Barcelona,Rural EA,2025
Rubió,08185,Anoia,Penedès,Rural EA,2025
Sagàs,08188,Berguedà,Catalunya Central,Rural EA,2025
Sant Boi de Lluçanès,08201,Osona,Catalunya Central,Rural EA,2025
Sant Feliu Sasserra,08212,Bages,Catalunya Central,Rural EA,2025
Sant Jaume de Frontanyà,08216,Berguedà,Catalunya Central,Rural EA,2025
