id_fita,nom_fita
1.1,Reduir la pobresa extrema
1.2,"Reduir la proporció de població que viu en la pobresa, mitjançant l'augment dels programes integrals que l'abordin en totes les seves dimensions."
1.3,"Reforçar en l'àmbit local sistemes i mesures apropiades de protecció social per a totes les persones, per tal d'aconseguir una àmplia cobertura de les persones vulnerables."
1.4,"Garantir que les persones, especialment les pobres i vulnerables, tinguin els mateixos drets, així com accés als serveis bàsics, recursos naturals, econòmics i financers en igualtat de condicions."
1.5,"Fomentar la resiliència de les persones pobres i vulnerables, i reduir la seva exposició i vulnerabilitat als fenòmens extrems relacionats amb el clima i altres pertorbacions i desastres econòmics, socials i ambientals."
2.1,"Garantir l'accés a aliments segurs, nutritius i suficients, especialment a aquella població en situació de vulnerabilitat alimentària, fomentant l'agricultura sostenible, de proximitat i resilient al canvi climàtic i als fenòmens meteorològics extrems."
2.3,Fomentar la productivitat agrícola i els ingressos de les persones que es dediquen a la producció d’aliments a petita escala.
2.4,Integrada amb la fita 2.1
2.5,"Mantenir la diversitat genètica de les llavors, dels cultius i dels animals de granja i domesticats, així com de les espècies silvestres connexes."
3.4,Incrementar programes de promoció d'hàbits saludables per reduir el risc de malalties no transmissibles  i promoure la salut mental i el benestar.
3.5,"Enfortir la prevenció, la informació i el tractament d'addicions, l'ús indegut d'estupefaents, consum de tabac, consum nociu d'alcohol, així com les addiccions a les pantalles."
3.6,Reduir a la meitat el nombre de morts i lesions causats per accidents de trànsit.
3.7,Impulsar mesures per garantir l’accés universal als serveis de salut sexual i reproductiva.
3.9,"Contribuir a la reducció de la incidència de malalties causades per productes químics, perillosos i la pol·lució de l’aire,  l’aigua i el sòl."
4.1,"Contribuir a l'èxit educatiu, assegurant l'accés a una educació gratuïta, equitativa i de qualitat"
4.2,Vetllar perquè tots els infants de 0 a 3 anys tinguin accés a serveis d’atenció i desenvolupament i a un ensenyament qualitat.
4.4,"Augmentar substancialment el nombre de joves i persones adultes perquè tinguin les competències necessàries per accedir al mercat de treball, a un lloc de treball digne i a l'emprenedoria, en condicions d'igualtat."
4.5,"Eliminar les disparitats de gènere en l’educació i garantir  l’equitat en l’accés, les condicions i els resultats a tots els col·lectius en situació de vulnerabilitat"
4.7,Garantir que tot l’alumnat adquireixi els coneixements teòrics i pràctics necessaris per promoure el desenvolupament sostenible.
4.a,"Garantir que els equipaments educatius responguin a les necessitats dels infants i les persones amb discapacitat i tinguin en compte les qüestions de gènere, oferint entorns d’aprenentatge segurs, no violents, inclusius i eficaços."
5.1,Posar fi a totes les formes de discriminació de gènere.
5.2,Erradicar totes les formes de violència masclista.
5.4,"Reconèixer i valorar les cures no remunerades i el treball domèstic no remunerat, mitjançant la prestació de serveis públics i promovent  la responsabilitat compartida, així com el suport a les persones cuidadores no professionals"
5.5,"Vetllar per la participació plena i efectiva de les dones, i per la igualtat d’oportunitats de lideratge en tots els àmbits de presa de decisions en la vida política, econòmica i pública."
5.6,Integrada amb la fita 3.5
5.b,Aconseguir la igualtat de gènere en l'ús de les TIC.
5.c,Enfortir les polítiques i els plans de igualtat de gènere i d'empoderament de dones i nenes.
6.1,"Assegurar l’accés universal i equitatiu a l’aigua potable, a un preu assequible amb especial atenció als col·lectius més vulnerables."
6.2,Aconseguir l’accés a uns serveis de sanejament i higiene que siguin adequats i equitatius.
6.3,"Millorar la qualitat de l’aigua reduint la contaminació, eliminant els abocaments i incrementant sistemes de drenatge sostenible, reciclatge, reutilització i aprofitament d'aigües freàtiques."
6.4,Augmentar significativament l’ús eficient dels recursos hídrics en tots els sectors i assegurar la sostenibilitat de l’extracció i del proveïment d’aigua dolça.
6.5,"Implementar la gestió integrada dels recursos hídrics en tots els àmbits, si cal mitjançant la cooperació territorial."
6.6,"Protegir i restablir els ecosistemes relacionats amb l’aigua, inclosos boscos, muntanyes, aiguamolls, rius, aqüífers i llacs a tot el territori amb espais de valor natura."
6.b,Impulsar i reforçar la participació de les comunitats locals en la millora de la gestió de l’aigua i del sanejament.
7.1,"Garantir l’accés universal a serveis d’energia assequibles, confiables i moderns, amb especial èmfasi en aquelles llars en situació de pobresa energètica."
7.2,Augmentar substancialment la proporció d’energia renovable en el conjunt de les fonts energètiques.
7.3,Millorar substancialment l’eficiència energètica.
8.2,"Augmentar de forma generalitzada la productivitat econòmica arreu del territori mitjançant l'especialització, la diversificació d'activitats, la innovació, la planificació estratègica i la concertació territorial."
8.3,"Promoure polítiques orientades al desenvolupament que donin suport a les activitats productives, la creació d'ocupacó digna, l'emprenedoria i consolidació d'empreses, la creativitat i la innovació"
8.4,Millorar la producció i el consum eficients dels recursos i desvincular el creixement econòmic de la degradació del mediambient.
8.5,Aconseguir una alta taxa d'ocupació i de qualitat d'aquells col·lectius més vulnerables en el conjunt del territori
